Step,Average_Reward
35700,-9.554976180267246
35800,-10.645929569924233
35900,-10.444502459124143
36000,-9.117874028755555
36100,-6.882261681121626
36200,-0.16222713383874027
36300,-0.47954920355234487
36400,-8.781196944276926
36500,-0.7651214088503766
36600,0.9092992204879147
36700,0.9870982910189073
36800,-2.6686849142869464
36900,-8.769959564594675
37000,-10.258116161218837
37100,-8.297162682148386
37200,-8.359631139499802
37300,-8.796940314724182
37400,-1.2928979509529148
37500,0.8311142146151245
37600,0.5268743219651731
37700,-8.26337145443619
37800,-8.357405132730184
37900,-3.89039857566439
38000,-3.8118154094891836
38100,-8.931260983374079
38200,-7.053308159107718
38300,-2.6320274138212216
38400,1.0824258437823806
38500,-7.168449812877048
38600,-11.72388406988811
38700,-12.52447086800851
38800,-11.2897322357786
38900,-11.250435447060756
39000,-6.486247754216082
39100,-2.3591032403485843
39200,-6.504785134056452
39300,-6.50936573795386
39400,0.9413663314267275
39500,-3.3243069044587927
39600,-12.354877625282032
39700,-10.163152124034044
39800,-4.616076716277634
39900,1.249251186565806
40000,-8.91940594072267
40100,-10.006190122649535
40200,-9.382706485793918
40300,-13.65813995507635
40400,-14.044372299906767
40500,-13.215110271100666
40600,-9.22503634193742
40700,-10.908501386366899
40800,-11.41008666990665
40900,-10.79331362556511
41000,-9.405062693694536
41100,-7.8857949251454995
41200,-10.04521791638294
41300,-13.645215161298907
41400,-14.15444132209667
41500,-12.16336552439407
41600,-9.472264572690706
41700,-11.910739134113848
41800,-9.726388432900762
41900,-11.33775395331823
42000,-14.190128319085678
42100,-18.008510296003568
42200,-17.19786845356582
42300,-15.6694734416401
42400,-18.15982236040329
42500,-19.353919938630714
42600,-19.08644298758668
42700,-19.686453821807287
42800,-19.958417645095523
42900,-18.619619057036477
43000,-17.884539180792814
43100,-17.79710599382895
43200,-19.076944641599788
43300,-19.47910684580872
43400,-18.271097823947507
43500,-15.78478174630175
43600,-15.444843237393528
43700,-11.686835733696476
43800,-13.495146472876788
43900,-13.331302960648495
44000,-14.508919852280366
44100,-13.269245388539828
44200,-4.854904894888849
44300,0.32667452891746196
44400,-3.6056844683751637
44500,-12.812186050687592
44600,-15.80193425614271
44700,-17.891277849725032
44800,-19.023762495127787
44900,-18.421996211633825
45000,-19.633741203694946
45100,-19.951426921091397
45200,-19.99355825984662
45300,-19.999145699281584
45400,-19.999886703018046
45500,-19.999984974604494
45600,-19.999998007338657
45700,-19.99999973573406
45800,-19.999999964953094
45900,-19.999999995352017
46000,-19.99999999938351
46100,-19.888529091157036
46200,-19.258578883124603
46300,-18.05069872534392
46400,-17.147805473703407
46500,-17.385886706691835
46600,-16.034576750059855
46700,-14.694545733765745
46800,-12.283247150178916
46900,-14.575750383978212
47000,-13.937975185361358
47100,-18.345187580392242
47200,-14.79240957719405
47300,-11.462179429377043
47400,-11.385886144978686
47500,-10.1199196848158
47600,-7.152715268089837
47700,-6.730022845442165
47800,-8.746517465865528
47900,-7.186629779779218
48000,-15.258089502619855
48100,-12.228847616909
48200,-14.40617837534714
48300,-16.195269433399154
48400,-17.37892194829628
48500,-18.87398994494664
48600,-18.211636178928718
48700,-13.230604302929923
48800,-16.524153936851253
48900,-14.886158742805826
49000,-12.439777651209813
49100,-12.059437259854175
49200,-13.247421852600171
49300,-11.309496702885356
49400,-8.254919344741786
49500,-12.924853256464088
49600,-16.267500750579124
49700,-17.213135913011342
49800,-13.762703510906276
49900,-16.614813357676436
50000,-14.533863179497528
50100,-11.672652991302769
50200,-11.845900090199624
50300,-8.833694589203562
50400,-5.964969714229964
50500,-0.5691423644170124
50600,-2.4182845678725915
50700,-6.984015653503938
50800,-12.417883859357337
50900,-10.16737865937301
51000,-3.585661907689249
51100,-3.6608187897779514
51200,-8.351103348682871
51300,-11.005914930753127
51400,-14.774729176786142
51500,-18.013266217768077
51600,-17.237517039492317
51700,-19.633640736610566
51800,-22.09833189128058
